iter	Logloss
0	0.6778075855
1	0.6657612188
2	0.653031486
3	0.6420986218
4	0.6314442464
5	0.6187027195
6	0.6088542197
7	0.5978527331
8	0.5849211715
9	0.5754966017
10	0.5643137637
11	0.5551029549
12	0.5471154946
13	0.5366029857
14	0.5285492861
15	0.5189635965
16	0.5109711819
17	0.5029172406
18	0.4970130362
19	0.4911458331
20	0.4841544808
21	0.4773979657
22	0.4694474489
23	0.4636706727
24	0.4568586095
25	0.4507350103
26	0.4439912081
27	0.4381521873
28	0.432595963
29	0.4264941362
30	0.4221210309
31	0.4176619661
32	0.4127878985
33	0.4071661353
34	0.4028054569
35	0.3971203974
36	0.3940441662
37	0.3896118304
38	0.3858486012
39	0.3825349311
40	0.3768161315
41	0.3732905891
42	0.3703924214
43	0.3653177647
44	0.3602536343
45	0.3567189788
46	0.3537163398
47	0.3501789591
48	0.3455193904
49	0.3434443963
50	0.3399900106
51	0.336437982
52	0.3332256015
53	0.3310294975
54	0.3285493684
55	0.3255225448
56	0.3220063226
57	0.3187340337
58	0.3162994969
59	0.3138457597
60	0.3119089404
61	0.3098879854
62	0.3073642022
63	0.3052414675
64	0.3032089764
65	0.3009973252
66	0.2987230409
67	0.2961221531
68	0.2938340455
69	0.2914261121
70	0.2890150895
71	0.287346617
72	0.2851230288
73	0.2833620902
74	0.2812707182
75	0.2796565645
76	0.2782722599
77	0.2766473175
78	0.2751020539
79	0.2734272155
80	0.2719620085
81	0.270131364
82	0.2688218196
83	0.2672506821
84	0.2659052984
85	0.2642063001
86	0.2627815649
87	0.2611254564
88	0.2594892371
89	0.2580057058
90	0.256824999
91	0.2554510174
92	0.2541454548
93	0.2527231773
94	0.2514750659
95	0.2501142738
96	0.2488998449
97	0.247903719
98	0.2467176369
99	0.2455270585
100	0.2443157885
101	0.2429882498
102	0.2419410892
103	0.2407114115
104	0.2394768286
105	0.2382671907
106	0.2369370884
107	0.2359835756
108	0.2346767312
109	0.233277277
110	0.2320115167
111	0.2306480232
112	0.2300031817
113	0.2291105953
114	0.2283202249
115	0.2273279082
116	0.2264507179
117	0.2255188079
118	0.2248853967
119	0.2238515116
120	0.2227645561
121	0.2219160403
122	0.2211614952
123	0.2202269743
124	0.2194704581
125	0.2185461728
126	0.2176705709
127	0.2166045598
128	0.2155785724
129	0.2146372632
130	0.2137160645
131	0.2130800739
132	0.2122411253
133	0.211528607
134	0.2106177532
135	0.2098586349
136	0.2092491294
137	0.2087289064
138	0.2082788663
139	0.2075353658
140	0.2066385506
141	0.2059321333
142	0.2053353187
143	0.2047701472
144	0.2036360658
145	0.2030178168
146	0.2023356052
147	0.201694868
148	0.2009458145
149	0.2005024546
150	0.1998319453
151	0.1993155516
152	0.1986224731
153	0.1977371824
154	0.1972524878
155	0.196769546
156	0.1959758789
157	0.195080096
158	0.1943870521
159	0.1938393748
160	0.1930855957
161	0.1923442148
162	0.1918797167
163	0.1914048178
164	0.1907750132
165	0.1904031757
166	0.1899200606
167	0.1891462306
168	0.188456561
169	0.1878655646
170	0.1871438979
171	0.1867791733
172	0.1863168913
173	0.1857475686
174	0.1852129676
175	0.1847494218
176	0.1842559181
177	0.1837069163
178	0.1833310219
179	0.1826755793
180	0.1823130343
181	0.181904609
182	0.1813145879
183	0.1809647428
184	0.1804232218
185	0.1798961754
186	0.1792376269
187	0.1787889483
188	0.1783547531
189	0.1778677586
190	0.1772642767
191	0.1765011757
192	0.1760497821
193	0.175569931
194	0.1751941239
195	0.1747538287
196	0.1744606447
197	0.1738492711
198	0.1734356407
199	0.1728569804
200	0.172454934
201	0.1720551524
202	0.1716147887
203	0.1710464885
204	0.1704561091
205	0.170022167
206	0.169347485
207	0.1690628971
208	0.1686497237
209	0.1681868416
210	0.1677020496
211	0.167235687
212	0.1665877206
213	0.1664079709
214	0.1658259092
215	0.165499411
216	0.1650872666
217	0.1646524692
218	0.1642630461
219	0.1638385117
220	0.1634707325
221	0.1631273997
222	0.1628408492
223	0.1624420391
224	0.1616903466
225	0.1612907313
226	0.1610452807
227	0.1606646494
228	0.1604199763
229	0.1599083533
230	0.1596237543
231	0.1591829083
232	0.1588008932
233	0.1583629003
234	0.1579599682
235	0.1575696327
236	0.1570927218
237	0.1566706931
238	0.1562497692
239	0.1559944919
240	0.1556216071
241	0.155187258
242	0.1547230565
243	0.1544838009
244	0.1541261778
245	0.1537690259
246	0.1531972323
